;GEPU_current;GEPU_ppp
1997-1-01;74,75765445;76,55736427
1997-2-01;77,86223784;80,02437483
1997-3-01;67,03755134;65,33164872
1997-4-01;72,92658391;74,7567456
1997-5-01;71,81439444;73,52516274
1997-6-01;78,20400205;79,7856196
1997-7-01;64,21219328;61,88590626
1997-8-01;63,17742362;58,83642668
1997-9-01;67,64688688;65,14513979
1997-10-01;82,63628627;78,4147502
1997-11-01;95,3546554;89,32931197
1997-12-01;105,4497083;94,75962035
1998-1-01;96,83721833;92,33446397
1998-2-01;84,06871908;80,60008916
1998-3-01;85,88635842;81,53276003
1998-4-01;78,22937894;71,8361416
1998-5-01;85,14847318;79,41098413
1998-6-01;83,95152806;80,1407836
1998-7-01;101,2608496;96,33665073
1998-8-01;113,7758321;106,0073201
1998-9-01;141,6164651;137,7431311
1998-10-01;119,174136;113,3053521
1998-11-01;96,5288337;89,32886554
1998-12-01;90,90203408;87,53034798
1999-1-01;96,24968787;95,22343801
1999-2-01;79,73608327;77,87217715
1999-3-01;63,9662691;61,57570647
1999-4-01;63,14366114;58,42901441
1999-5-01;70,47086996;72,0703815
1999-6-01;71,48447738;70,97835928
1999-7-01;72,04663091;70,54206803
1999-8-01;62,24133206;61,16411679
1999-9-01;67,32085579;65,30855741
1999-10-01;65,70259093;66,84099333
1999-11-01;68,1191607;65,09601902
1999-12-01;60,27348329;56,47254128
2000-1-01;63,37225902;61,85630734
2000-2-01;58,69469872;54,11180812
2000-3-01;60,83460528;57,82094657
2000-4-01;64,2357841;60,77338964
2000-5-01;86,54837604;83,03891266
2000-6-01;87,99781375;82,23179469
2000-7-01;65,46352374;58,80446878
2000-8-01;53,82824273;51,19038745
2000-9-01;60,76977243;61,48363286
2000-10-01;68,90265629;67,81086235
2000-11-01;108,6768246;103,4516887
2000-12-01;102,0147797;97,43821626
2001-1-01;99,76609546;94,48867043
2001-2-01;100,0272879;93,70213231
2001-3-01;112,9202748;105,6014102
2001-4-01;109,2687532;100,8046732
2001-5-01;84,71486265;80,03630719
2001-6-01;73,72607327;69,45389287
2001-7-01;99,75182516;94,46251977
2001-8-01;85,06692977;84,13032567
2001-9-01;179,5256742;167,9453865
2001-10-01;171,0330058;166,1038012
2001-11-01;125,4502671;120,0285343
2001-12-01;107,7728909;103,9396877
2002-1-01;106,3754952;104,5469258
2002-2-01;89,6803727;88,22452909
2002-3-01;78,84509988;79,10545704
2002-4-01;83,39614448;82,55496762
2002-5-01;78,87268579;75,0515455
2002-6-01;94,0897409;93,45087225
2002-7-01;100,0348107;94,26358251
2002-8-01;106,7041576;103,8501473
2002-9-01;122,4928748;120,8388326
2002-10-01;117,1060618;117,5875412
2002-11-01;122,1196507;116,272961
2002-12-01;118,5770659;113,5689062
2003-1-01;127,294109;117,0024331
2003-2-01;135,8169506;125,1716512
2003-3-01;169,27721;158,9077849
2003-4-01;135,227012;128,1954262
2003-5-01;106,1158105;101,1273865
2003-6-01;88,82052524;82,39630272
2003-7-01;79,51250127;79,97923174
2003-8-01;69,01028985;70,62302835
2003-9-01;81,25911244;78,77876976
2003-10-01;76,42340039;78,52714047
2003-11-01;73,13579346;73,72007486
2003-12-01;70,48052722;70,46452335
2004-1-01;72,55382628;77,33760096
2004-2-01;71,37241728;76,85394505
2004-3-01;78,10868076;75,45274405
2004-4-01;76,42477935;76,7232802
2004-5-01;91,31198912;99,25340072
2004-6-01;76,8148003;76,56285115
2004-7-01;74,02706874;70,38419032
2004-8-01;69,13273708;68,7409914
2004-9-01;78,89283039;76,09134325
2004-10-01;89,18312329;89,34176324
2004-11-01;84,46235883;81,33884955
2004-12-01;64,96930032;66,50385537
2005-1-01;57,8196702;63,91639109
2005-2-01;54,33652275;56,10341659
2005-3-01;54,07960101;58,24782748
2005-4-01;68,73367151;71,38927646
2005-5-01;69,36399282;68,15960924
2005-6-01;70,00697813;69,52272374
2005-7-01;61,41896806;60,8368447
2005-8-01;61,46689628;62,72043489
2005-9-01;92,87820686;89,30529282
2005-10-01;64,66852229;65,25163647
2005-11-01;67,36034181;66,1284786
2005-12-01;60,6243542;63,71154053
2006-1-01;68,71827914;73,08514593
2006-2-01;58,18813808;58,49498974
2006-3-01;58,34168411;60,93479817
2006-4-01;72,91516615;76,36972637
2006-5-01;63,12631079;63,19664577
2006-6-01;73,50172748;74,88627725
