Date,GPR
01/01/85,102.17
01/02/85,117.10
01/03/85,124.78
01/04/85,87.93
01/05/85,103.26
01/06/85,148.78
01/07/85,133.91
01/08/85,82.78
01/09/85,102.43
01/10/85,105.99
01/11/85,94.85
01/12/85,96.42
01/01/86,135.36
01/02/86,98.75
01/03/86,98.68
01/04/86,148.31
01/05/86,117.39
01/06/86,96.29
01/07/86,94.70
01/08/86,103.35
01/09/86,117.11
01/10/86,96.79
01/11/86,109.77
01/12/86,89.75
01/01/87,96.94
01/02/87,100.68
01/03/87,89.61
01/04/87,113.39
01/05/87,98.65
01/06/87,94.18
01/07/87,98.87
01/08/87,99.97
01/09/87,121.17
01/10/87,101.06
01/11/87,96.15
01/12/87,109.86
01/01/88,83.20
01/02/88,86.21
01/03/88,110.21
01/04/88,119.45
01/05/88,104.87
01/06/88,79.71
01/07/88,83.43
01/08/88,84.05
01/09/88,74.84
01/10/88,73.45
01/11/88,68.80
01/12/88,90.40
01/01/89,89.25
01/02/89,91.62
01/03/89,87.73
01/04/89,83.58
01/05/89,103.83
01/06/89,89.46
01/07/89,84.75
01/08/89,109.18
01/09/89,85.55
01/10/89,69.52
01/11/89,92.83
01/12/89,112.55
01/01/90,81.54
01/02/90,77.41
01/03/90,67.59
01/04/90,81.64
01/05/90,86.41
01/06/90,79.68
01/07/90,85.79
01/08/90,250.45
01/09/90,188.66
01/10/90,143.85
01/11/90,158.74
01/12/90,153.16
01/01/91,379.25
01/02/91,339.36
01/03/91,148.62
01/04/91,97.76
01/05/91,88.57
01/06/91,87.73
01/07/91,115.18
01/08/91,113.50
01/09/91,117.94
01/10/91,100.83
01/11/91,100.74
01/12/91,103.97
01/01/92,102.96
01/02/92,87.20
01/03/92,85.30
01/04/92,85.86
01/05/92,78.97
01/06/92,93.85
01/07/92,75.20
01/08/92,81.65
01/09/92,74.61
01/10/92,68.18
01/11/92,91.01
01/12/92,83.42
01/01/93,128.92
01/02/93,90.47
01/03/93,94.24
01/04/93,112.72
01/05/93,110.73
01/06/93,104.20
01/07/93,123.31
01/08/93,97.24
01/09/93,89.16
01/10/93,106.17
01/11/93,83.48
01/12/93,79.55
01/01/94,83.49
01/02/94,117.24
01/03/94,93.47
01/04/94,95.36
01/05/94,104.47
01/06/94,120.35
01/07/94,99.64
01/08/94,98.23
01/09/94,98.90
01/10/94,94.85
01/11/94,86.53
01/12/94,96.05
01/01/95,80.15
01/02/95,76.88
01/03/95,82.24
01/04/95,99.19
01/05/95,87.84
01/06/95,104.61
01/07/95,107.65
01/08/95,106.93
01/09/95,71.21
01/10/95,67.74
01/11/95,76.33
01/12/95,65.67
01/01/96,75.63
01/02/96,80.42
01/03/96,82.15
01/04/96,84.83
01/05/96,65.53
01/06/96,69.09
01/07/96,80.64
01/08/96,81.69
01/09/96,88.20
01/10/96,55.59
01/11/96,57.34
01/12/96,74.98
01/01/97,54.06
01/02/97,50.56
01/03/97,58.48
01/04/97,62.84
01/05/97,53.58
01/06/97,39.05
01/07/97,47.70
01/08/97,48.58
01/09/97,42.69
01/10/97,49.75
01/11/97,59.69
01/12/97,44.00
01/01/98,53.10
01/02/98,77.60
01/03/98,57.25
01/04/98,51.00
01/05/98,94.47
01/06/98,76.31
01/07/98,54.05
01/08/98,97.02
01/09/98,62.51
01/10/98,54.40
01/11/98,67.97
01/12/98,75.96
01/01/99,63.99
01/02/99,58.32
01/03/99,83.40
01/04/99,106.20
01/05/99,85.44
01/06/99,79.41
01/07/99,62.14
01/08/99,62.86
01/09/99,69.58
01/10/99,72.35
01/11/99,57.96
01/12/99,86.08
01/01/00,64.46
01/02/00,63.54
01/03/00,50.10
01/04/00,48.68
01/05/00,79.48
01/06/00,64.72
01/07/00,51.90
01/08/00,46.49
01/09/00,52.69
01/10/00,76.46
01/11/00,45.06
01/12/00,45.40
01/01/01,46.90
01/02/01,55.09
01/03/01,61.71
01/04/01,50.57
01/05/01,60.38
01/06/01,72.06
01/07/01,61.07
01/08/01,64.11
01/09/01,498.65
01/10/01,512.53
01/11/01,306.79
01/12/01,236.10
01/01/02,172.48
01/02/02,146.19
01/03/02,151.98
01/04/02,157.50
01/05/02,163.32
01/06/02,149.33
01/07/02,122.78
01/08/02,127.06
01/09/02,174.90
01/10/02,172.03
01/11/02,159.13
01/12/02,175.81
01/01/03,206.43
01/02/03,239.61
01/03/03,358.71
01/04/03,255.78
01/05/03,162.12
01/06/03,145.77
01/07/03,134.90
01/08/03,138.23
01/09/03,118.20
01/10/03,108.32
01/11/03,118.09
01/12/03,129.47
01/01/04,113.47
01/02/04,115.08
01/03/04,138.53
01/04/04,149.63
01/05/04,121.09
01/06/04,137.23
01/07/04,131.02
01/08/04,140.37
01/09/04,153.87
01/10/04,119.86
01/11/04,122.71
01/12/04,109.90
01/01/05,100.89
01/02/05,108.98
01/03/05,90.41
01/04/05,87.03
01/05/05,98.21
01/06/05,81.12
01/07/05,165.90
01/08/05,116.23
01/09/05,103.81
01/10/05,87.06
01/11/05,83.48
01/12/05,95.35
01/01/06,94.51
01/02/06,95.86
01/03/06,92.80
01/04/06,89.02
01/05/06,85.21
01/06/06,102.57
01/07/06,137.13
01/08/06,147.08
01/09/06,111.72
01/10/06,113.14
01/11/06,88.78
01/12/06,90.61
01/01/07,97.92
01/02/07,96.17
01/03/07,87.34
01/04/07,76.61
01/05/07,92.60
01/06/07,97.97
01/07/07,112.35
01/08/07,83.17
01/09/07,94.49
01/10/07,101.47
01/11/07,89.80
01/12/07,94.97
01/01/08,81.50
01/02/08,80.75
01/03/08,77.64
01/04/08,71.90
01/05/08,72.57
01/06/08,87.55
01/07/08,89.74
01/08/08,88.55
01/09/08,88.54
01/10/08,64.16
01/11/08,79.08
01/12/08,92.37
01/01/09,85.37
01/02/09,67.45
01/03/09,72.64
01/04/09,85.69
01/05/09,89.68
01/06/09,81.11
01/07/09,83.44
01/08/09,73.37
01/09/09,92.84
01/10/09,90.58
01/11/09,82.10
01/12/09,92.95
01/01/10,91.58
01/02/10,80.73
01/03/10,74.12
01/04/10,88.76
01/05/10,88.96
01/06/10,96.45
01/07/10,79.38
01/08/10,80.99
01/09/10,71.17
01/10/10,65.99
01/11/10,94.71
01/12/10,97.20
01/01/11,79.42
01/02/11,90.01
01/03/11,136.89
01/04/11,91.02
01/05/11,105.34
01/06/11,84.39
01/07/11,78.92
01/08/11,86.95
01/09/11,83.35
01/10/11,76.34
01/11/11,83.16
01/12/11,85.34
01/01/12,79.63
01/02/12,92.45
01/03/12,88.76
01/04/12,96.02
01/05/12,78.17
01/06/12,77.82
01/07/12,82.81
01/08/12,74.88
01/09/12,69.28
01/10/12,81.66
01/11/12,81.39
01/12/12,74.83
01/01/13,90.66
01/02/13,81.59
01/03/13,75.90
01/04/13,95.11
01/05/13,83.72
01/06/13,82.97
01/07/13,73.98
01/08/13,90.96
01/09/13,100.46
01/10/13,72.95
01/11/13,77.78
01/12/13,70.37
01/01/14,77.92
01/02/14,69.00
01/03/14,119.84
01/04/14,93.22
01/05/14,83.43
01/06/14,98.77
01/07/14,138.75
01/08/14,136.45
01/09/14,131.56
01/10/14,83.66
01/11/14,84.38
01/12/14,86.53
01/01/15,111.99
01/02/15,111.92
01/03/15,104.24
01/04/15,102.19
01/05/15,76.26
01/06/15,85.91
01/07/15,106.81
01/08/15,82.48
01/09/15,98.77
01/10/15,91.93
01/11/15,150.72
01/12/15,148.24
01/01/16,118.21
01/02/16,103.75
01/03/16,109.72
01/04/16,85.22
01/05/16,88.33
01/06/16,90.17
01/07/16,114.61
01/08/16,98.74
01/09/16,104.55
01/10/16,85.75
01/11/16,82.92
01/12/16,102.18
01/01/17,105.20
