date,hiato
1996-03-01,-0.0086
1996-06-01,-0.0071
1996-09-01,0.0073
1996-12-01,0.0002
1997-03-01,0.0019
1997-06-01,0.0014
1997-09-01,0.0033
1997-12-01,0.0031
1998-03-01,-0.0107
1998-06-01,-0.0041
1998-09-01,-0.0073
1998-12-01,-0.0147
1999-03-01,-0.0156
1999-06-01,-0.0151
1999-09-01,-0.0155
1999-12-01,-0.0199
2000-03-01,-0.0171
2000-06-01,-0.009
2000-09-01,-0.0018
2000-12-01,0.0016
2001-03-01,0.0007
2001-06-01,-0.0093
2001-09-01,-0.0192
2001-12-01,-0.027
2002-03-01,-0.0156
2002-06-01,-0.015
2002-09-01,-0.0138
2002-12-01,-0.0094
2003-03-01,-0.0155
2003-06-01,-0.028
2003-09-01,-0.0284
2003-12-01,-0.0211
2004-03-01,-0.018
2004-06-01,-0.0037
2004-09-01,0.0014
2004-12-01,0.002
2005-03-01,0.0006
2005-06-01,-0.0006
2005-09-01,-0.0127
2005-12-01,-0.0106
2006-03-01,-0.0062
2006-06-01,-0.0101
2006-09-01,-0.005
2006-12-01,-0.0031
2007-03-01,0.0011
2007-06-01,0.0058
2007-09-01,0.0079
2007-12-01,0.0148
2008-03-01,0.0191
2008-06-01,0.0238
2008-09-01,0.0222
2008-12-01,-0.0115
2009-03-01,-0.0341
2009-06-01,-0.0317
2009-09-01,-0.0205
2009-12-01,-0.006
2010-03-01,0.0057
2010-06-01,0.0101
2010-09-01,0.0095
2010-12-01,0.0124
2011-03-01,0.0146
2011-06-01,0.0147
2011-09-01,0.0078
2011-12-01,0.0083
2012-03-01,-0.0006
2012-06-01,-0.0001
2012-09-01,0.0065
2012-12-01,0.0052
2013-03-01,0.0071
2013-06-01,0.0153
2013-09-01,0.0158
2013-12-01,0.0162
2014-03-01,0.0177
2014-06-01,0.01
2014-09-01,0.0073
2014-12-01,0.0027
2015-03-01,-0.0035
2015-06-01,-0.0186
2015-09-01,-0.0312
2015-12-01,-0.0385
2016-03-01,-0.0486
2016-06-01,-0.0466
2016-09-01,-0.048
2016-12-01,-0.0479
2017-03-01,-0.04
2017-06-01,-0.0338
2017-09-01,-0.0298
2017-12-01,-0.0241
2018-03-01,-0.0196
2018-06-01,-0.0194
2018-09-01,-0.0166
2018-12-01,-0.019
2019-03-01,-0.0208
2019-06-01,-0.0195
2019-09-01,-0.0177
2019-12-01,-0.0177
2020-03-01,-0.0351
2020-06-01,-0.1006
2020-09-01,-0.0549
2020-12-01,-0.0304
2021-03-01,-0.0238
2021-06-01,-0.0259
2021-09-01,-0.0247
2021-12-01,-0.019
2022-03-01,-0.0144
2022-06-01,-0.0052
2022-09-01,0.0007
2022-12-01,0.001
2023-03-01,0.0056
2023-06-01,0.0096
2023-09-01,0.0076
2023-12-01,0.0047
