date,oni,en,ln,hiato
1997-01-01,-0.5,0,0,0
1997-02-01,-0.4,0,0,0
1997-03-01,-0.1,0,0,0.0019
1997-04-01,0.3,0,0,0
1997-05-01,0.8,1,1,0
1997-06-01,1.2,1,1,0.0014
1997-07-01,1.6,1,1,0
1997-08-01,1.9,1,1,0
1997-09-01,2.1,1,1,0.0033
1997-10-01,2.3,1,1,0
1997-11-01,2.4,1,1,0
1997-12-01,2.4,1,1,0.0031
1998-01-01,2.2,1,1,0
1998-02-01,1.9,1,1,0
1998-03-01,1.4,1,1,-0.0107
1998-04-01,1.0,1,1,0
1998-05-01,0.5,1,1,0
1998-06-01,-0.1,0,0,-0.0041
1998-07-01,-0.8,0,1,0
1998-08-01,-1.1,0,1,0
1998-09-01,-1.3,0,1,-0.0073
1998-10-01,-1.4,0,1,0
1998-11-01,-1.5,0,1,0
1998-12-01,-1.6,0,1,-0.0147
1999-01-01,-1.5,0,1,0
1999-02-01,-1.3,0,1,0
1999-03-01,-1.1,0,1,-0.0156
1999-04-01,-1.0,0,1,0
1999-05-01,-1.0,0,1,0
1999-06-01,-1.0,0,1,-0.0151
1999-07-01,-1.1,0,1,0
1999-08-01,-1.1,0,1,0
1999-09-01,-1.2,0,1,-0.0155
1999-10-01,-1.3,0,1,0
1999-11-01,-1.5,0,1,0
1999-12-01,-1.7,0,1,-0.0199
2000-01-01,-1.7,0,1,0
2000-02-01,-1.4,0,1,0
2000-03-01,-1.1,0,1,-0.0171
2000-04-01,-0.8,0,1,0
2000-05-01,-0.7,0,1,0
2000-06-01,-0.6,0,1,-0.009
2000-07-01,-0.6,0,1,0
2000-08-01,-0.5,0,1,0
2000-09-01,-0.5,0,1,-0.0018
2000-10-01,-0.6,0,1,0
2000-11-01,-0.7,0,1,0
2000-12-01,-0.7,0,1,0.0016
2001-01-01,-0.7,0,1,0
2001-02-01,-0.5,0,1,0
2001-03-01,-0.4,0,0,0.0007
2001-04-01,-0.3,0,0,0
2001-05-01,-0.3,0,0,0
2001-06-01,-0.1,0,0,-0.0093
2001-07-01,-0.1,0,0,0
2001-08-01,-0.1,0,0,0
2001-09-01,-0.2,0,0,-0.0192
2001-10-01,-0.3,0,0,0
2001-11-01,-0.3,0,0,0
2001-12-01,-0.3,0,0,-0.027
2002-01-01,-0.1,0,0,0
2002-02-01,0.0,0,0,0
2002-03-01,0.1,0,0,-0.0156
2002-04-01,0.2,0,0,0
2002-05-01,0.4,0,0,0
2002-06-01,0.7,1,1,-0.015
2002-07-01,0.8,1,1,0
2002-08-01,0.9,1,1,0
2002-09-01,1.0,1,1,-0.0138
2002-10-01,1.2,1,1,0
2002-11-01,1.3,1,1,0
2002-12-01,1.1,1,1,-0.0094
2003-01-01,0.9,1,1,0
2003-02-01,0.6,1,1,0
2003-03-01,0.4,0,0,-0.0155
2003-04-01,0.0,0,0,0
2003-05-01,-0.3,0,0,0
2003-06-01,-0.2,0,0,-0.028
2003-07-01,0.1,0,0,0
2003-08-01,0.2,0,0,0
2003-09-01,0.3,0,0,-0.0284
2003-10-01,0.3,0,0,0
2003-11-01,0.4,0,0,0
2003-12-01,0.4,0,0,-0.0211
2004-01-01,0.4,0,0,0
2004-02-01,0.3,0,0,0
2004-03-01,0.2,0,0,-0.018
2004-04-01,0.2,0,0,0
2004-05-01,0.2,0,0,0
2004-06-01,0.3,0,0,-0.0037
2004-07-01,0.5,1,1,0
2004-08-01,0.6,1,1,0
2004-09-01,0.7,1,1,0.0014
2004-10-01,0.7,1,1,0
2004-11-01,0.7,1,1,0
2004-12-01,0.7,1,1,0.002
